	AA2	gene_name	geneID	identity	EGGNOG	annotation	COG	COG1	COG2	ref	type
24	38	D485_BL_18_NODE_18_length_31940_cov_77_168_5	-3.5	99.7998684210527	COG0507	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D485_BL_18_NODE_18_length_31940_cov_77_168	Others
25	38	D485_BL_18_NODE_18_length_31940_cov_77_168_6	-4.5	98.38078947368425	COG1949	3'-to-5' exoribonuclease specific for small oligoribonucleotides	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D485_BL_18_NODE_18_length_31940_cov_77_168	Others
26	37	D485_BL_18_NODE_18_length_31940_cov_77_168_7	-5.5	99.93740540540536	COG0516	GMP reductase activity	F	METABOLISM	   Nucleotide transport and metabolism	D485_BL_18_NODE_18_length_31940_cov_77_168	Others
27	37	D485_BL_18_NODE_18_length_31940_cov_77_168_8	-6.5	99.64	COG0472	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D485_BL_18_NODE_18_length_31940_cov_77_168	Others
28	37	D485_BL_18_NODE_18_length_31940_cov_77_168_9	-7.5	99.92735135135138	COG0009	L-threonylcarbamoyladenylate synthase	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D485_BL_18_NODE_18_length_31940_cov_77_168	Others
0	17	D503_BL_05_NODE_13_length_66361_cov_46309_46852_1	34.5	85.78941176470592	COG3934	Belongs to the glycosyl hydrolase 5 (cellulase A) family	G	METABOLISM	   Carbohydrate transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
1	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_10	25.5	99.79750000000004	COG1327	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
2	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_11	24.5	99.3925	COG1570	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
3	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_12	23.5	99.01	COG1722	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
4	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_13	22.5	98.53565624999999	COG2249	NAD(P)H dehydrogenase (quinone) activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
5	39	D503_BL_05_NODE_13_length_66361_cov_46309_46852_14	21.5	88.963358974359	COG1022	Amp-dependent synthetase and ligase	I	METABOLISM	   Lipid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
6	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_15	20.5	99.13084374999995	COG1970	mechanosensitive ion channel activity	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
7	34	D503_BL_05_NODE_13_length_66361_cov_46309_46852_16	19.5	96.12138235294115	COG3613	nucleoside 2-deoxyribosyltransferase	F	METABOLISM	   Nucleotide transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
8	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_17	18.5	99.6741875	COG0454	-acetyltransferase	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
9	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_18	17.5	99.23346874999999	COG3021	interspecies interaction between organisms	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
10	35	D503_BL_05_NODE_13_length_66361_cov_46309_46852_19	16.5	93.57060000000001	COG0248	Ppx GppA phosphatase	P	METABOLISM	   Inorganic ion transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
11	9	D503_BL_05_NODE_13_length_66361_cov_46309_46852_2	33.5	98.67333333333333	33D6A	Nucleotidyltransferase substrate binding protein like	H	METABOLISM	   Coenzyme transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
12	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_20	15.5	99.90684374999995	COG0436	Aminotransferase	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
13	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_21	14.5	99.23362499999996	COG0673	inositol 2-dehydrogenase activity	T	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
14	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_22	13.5	99.36403124999998	COG3727	T/G mismatch-specific endonuclease activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
15	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_23	12.5	99.036375	COG1247	-acetyltransferase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
16	34	D503_BL_05_NODE_13_length_66361_cov_46309_46852_24	11.5	96.20341176470589	COG0701	Predicted permease	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
17	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_25	10.5	99.78715625000002	COG0553	Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
18	36	D503_BL_05_NODE_13_length_66361_cov_46309_46852_26	9.5	99.49383333333328	COG2378	regulation of single-species biofilm formation	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
19	36	D503_BL_05_NODE_13_length_66361_cov_46309_46852_27	8.5	99.72230555555551	COG2171	N-acyltransferase activity	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
20	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_28	7.5	99.75364864864866	COG0372	Belongs to the citrate synthase family	C	METABOLISM	   Energy production and conversion	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
21	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_29	6.5	100.0	COG0024	Methionine aminopeptidase	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
22	9	D503_BL_05_NODE_13_length_66361_cov_46309_46852_3	32.5	98.37955555555556	COG1669	hydrolase activity, acting on ester bonds	V	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
23	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_30	5.5	99.85121621621622	COG3247	response to pH	U	CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
24	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_31	4.5	99.66318918918917	COG3590	peptidase	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
25	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_32	3.5	99.44316216216218	COG0629	single-stranded DNA binding	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
26	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_33	2.5	99.94618918918917	COG0442	prolyl-tRNA aminoacylation	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
27	13	D503_BL_05_NODE_13_length_66361_cov_46309_46852_35	0.5	60.28430769230769						D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
28	39	D503_BL_05_NODE_13_length_66361_cov_46309_46852_36	-0.5	100.0	COG3512	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Cas genes
29	39	D503_BL_05_NODE_13_length_66361_cov_46309_46852_37	-1.5	100.0	COG1518	maintenance of DNA repeat elements	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Cas genes
30	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_38	-2.5	99.87689189189189	COG3513	CRISPR (clustered regularly interspaced short palindromic repeat) is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). In type II CRISPR systems correct processing of pre-crRNA requires a trans-encoded small RNA (tracrRNA), endogenous ribonuclease 3 (rnc) and this protein. The tracrRNA serves as a guide for ribonuclease 3-aided processing of pre-crRNA. Subsequently Cas9 crRNA tracrRNA endonucleolytically cleaves linear or circular dsDNA target complementary to the spacer	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Cas genes
31	38	D503_BL_05_NODE_13_length_66361_cov_46309_46852_39	-3.5	99.62742105263162	COG0507	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
32	5	D503_BL_05_NODE_13_length_66361_cov_46309_46852_4	31.5	98.57159999999999	COG1285	pathogenesis	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
33	38	D503_BL_05_NODE_13_length_66361_cov_46309_46852_40	-4.5	98.38078947368425	COG1949	3'-to-5' exoribonuclease specific for small oligoribonucleotides	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
34	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_41	-5.5	99.93740540540536	COG0516	GMP reductase activity	F	METABOLISM	   Nucleotide transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
35	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_42	-6.5	99.64	COG0472	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
36	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_43	-7.5	99.92735135135138	COG0009	L-threonylcarbamoyladenylate synthase	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
37	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_44	-8.5	99.49689189189188	COG0110	maltose O-acetyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
38	35	D503_BL_05_NODE_13_length_66361_cov_46309_46852_45	-9.5	77.41214285714284	COG0410	ABC transporter	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
39	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_46	-10.5	74.41127027027025	COG0411	ABC transporter	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
40	35	D503_BL_05_NODE_13_length_66361_cov_46309_46852_47	-11.5	79.39102857142855	COG4177	L-phenylalanine transmembrane transporter activity	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
41	37	D503_BL_05_NODE_13_length_66361_cov_46309_46852_48	-12.5	76.56097297297298	COG0559	Belongs to the binding-protein-dependent transport system permease family	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
42	35	D503_BL_05_NODE_13_length_66361_cov_46309_46852_49	-13.5	76.04451428571427	COG0683	leucine binding	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
43	30	D503_BL_05_NODE_13_length_66361_cov_46309_46852_5	30.5	92.36066666666669	COG1472	Belongs to the glycosyl hydrolase 3 family	G	METABOLISM	   Carbohydrate transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
44	18	D503_BL_05_NODE_13_length_66361_cov_46309_46852_6	29.5	98.72516666666671	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
45	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_7	28.5	89.86643750000006	COG2170	ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
46	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_8	27.5	92.71868749999997	COG1924	4 iron, 4 sulfur cluster binding	I	METABOLISM	   Lipid transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
47	32	D503_BL_05_NODE_13_length_66361_cov_46309_46852_9	26.5	99.18843750000003	COG0602	queuosine metabolic process	H	METABOLISM	   Coenzyme transport and metabolism	D503_BL_05_NODE_13_length_66361_cov_46309_46852	Others
0	35	D503_BL_06_NODE_5_length_111481_cov_19348_19891_1	-13.5	76.04451428571427	COG0683	leucine binding	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
1	38	D503_BL_06_NODE_5_length_111481_cov_19348_19891_10	-4.5	98.38078947368425	COG1949	3'-to-5' exoribonuclease specific for small oligoribonucleotides	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
2	38	D503_BL_06_NODE_5_length_111481_cov_19348_19891_11	-3.5	99.62742105263162	COG0507	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
3	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_12	-2.5	99.87689189189189	COG3513	CRISPR (clustered regularly interspaced short palindromic repeat) is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). In type II CRISPR systems correct processing of pre-crRNA requires a trans-encoded small RNA (tracrRNA), endogenous ribonuclease 3 (rnc) and this protein. The tracrRNA serves as a guide for ribonuclease 3-aided processing of pre-crRNA. Subsequently Cas9 crRNA tracrRNA endonucleolytically cleaves linear or circular dsDNA target complementary to the spacer	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Cas genes
4	39	D503_BL_06_NODE_5_length_111481_cov_19348_19891_13	-1.5	100.0	COG1518	maintenance of DNA repeat elements	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Cas genes
5	39	D503_BL_06_NODE_5_length_111481_cov_19348_19891_14	-0.5	100.0	COG3512	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Cas genes
6	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_15	0.5	99.94618918918917	COG0442	prolyl-tRNA aminoacylation	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
7	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_16	1.5	99.44316216216218	COG0629	single-stranded DNA binding	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
8	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_17	2.5	99.66318918918917	COG3590	peptidase	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
9	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_18	3.5	99.85121621621622	COG3247	response to pH	U	CELLULAR PROCESSES AND SIGNALING	Intracellular trafficking, secretion, and vesicular transport	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
10	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_19	4.5	100.0	COG0024	Methionine aminopeptidase	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
11	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_2	-12.5	76.56097297297298	COG0559	Belongs to the binding-protein-dependent transport system permease family	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
12	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_20	5.5	99.75364864864866	COG0372	Belongs to the citrate synthase family	C	METABOLISM	   Energy production and conversion	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
13	36	D503_BL_06_NODE_5_length_111481_cov_19348_19891_21	6.5	99.72230555555551	COG2171	N-acyltransferase activity	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
14	36	D503_BL_06_NODE_5_length_111481_cov_19348_19891_22	7.5	99.49383333333328	COG2378	regulation of single-species biofilm formation	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
15	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_23	8.5	99.78715625000002	COG0553	Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
16	34	D503_BL_06_NODE_5_length_111481_cov_19348_19891_24	9.5	96.20341176470589	COG0701	Predicted permease	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
17	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_25	10.5	99.036375	COG1247	-acetyltransferase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
18	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_26	11.5	99.36403124999998	COG3727	T/G mismatch-specific endonuclease activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
19	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_27	12.5	99.23362499999996	COG0673	inositol 2-dehydrogenase activity	T	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
20	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_28	13.5	99.90684374999995	COG0436	Aminotransferase	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
21	35	D503_BL_06_NODE_5_length_111481_cov_19348_19891_29	14.5	93.57060000000001	COG0248	Ppx GppA phosphatase	F	METABOLISM	   Nucleotide transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
22	35	D503_BL_06_NODE_5_length_111481_cov_19348_19891_3	-11.5	79.39102857142855	COG4177	L-phenylalanine transmembrane transporter activity	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
23	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_30	15.5	99.23346874999999	COG3021	interspecies interaction between organisms	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
24	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_31	16.5	99.6741875	COG0454	-acetyltransferase	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
25	34	D503_BL_06_NODE_5_length_111481_cov_19348_19891_32	17.5	96.12138235294115	COG3613	nucleoside 2-deoxyribosyltransferase	F	METABOLISM	   Nucleotide transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
26	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_33	18.5	99.13084374999995	COG1970	mechanosensitive ion channel activity	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
27	39	D503_BL_06_NODE_5_length_111481_cov_19348_19891_34	19.5	88.963358974359	COG1022	Amp-dependent synthetase and ligase	I	METABOLISM	   Lipid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
28	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_35	20.5	98.53565624999999	COG2249	NAD(P)H dehydrogenase (quinone) activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
29	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_36	21.5	99.01	COG1722	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
30	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_37	22.5	99.3925	COG1570	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
31	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_38	23.5	99.79750000000004	COG1327	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
32	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_39	24.5	99.18843750000003	COG0602	queuosine metabolic process	H	METABOLISM	   Coenzyme transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
33	37	D503_BL_06_NODE_5_length_111481_cov_19348_19891_4	-10.5	74.41127027027025	COG0411	ABC transporter	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
34	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_40	25.5	92.71868749999997	COG1924	4 iron, 4 sulfur cluster binding	I	METABOLISM	   Lipid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
35	32	D503_BL_06_NODE_5_length_111481_cov_19348_19891_41	26.5	89.86643750000006	COG2170	ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
36	18	D503_BL_06_NODE_5_length_111481_cov_19348_19891_42	27.5	98.72516666666671	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
37	30	D503_BL_06_NODE_5_length_111481_cov_19348_19891_43	28.5	92.45736666666669	COG1472	Belongs to the glycosyl hydrolase 3 family	G	METABOLISM	   Carbohydrate transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
38	5	D503_BL_06_NODE_5_length_111481_cov_19348_19891_44	29.5	98.57159999999999	COG1285	pathogenesis	E	METABOLISM	   Amino acid transport and metabolism	D503_BL_06_NODE_5_length_111481_cov_19348_19891	Others
