	newgene	geneID	identity	AA2	oldgeneID	gene_name	EGGNOG	annotation	COG	COG1	COG2	type
110	D110_BL_03_NODE_3_length_312211_cov_31571_32177_34	128	100.0	37	89	D110_BL_03_NODE_3_length_312211_cov_31571_32177_34	COG0024	Methionine aminopeptidase	E	METABOLISM	   Amino acid transport and metabolism	Others
111	H25_BL_06_NODE_4_length_233680_cov_149707_149862_50	129	99.74110810810811	37	39	H25_BL_06_NODE_4_length_233680_cov_149707_149862_50	COG0372	Belongs to the citrate synthase family	C	METABOLISM	   Energy production and conversion	Others
112	D110_BL_03_NODE_3_length_312211_cov_31571_32177_36	130	99.72230555555556	36	66	D110_BL_03_NODE_3_length_312211_cov_31571_32177_36	COG2171	N-acyltransferase activity	E	METABOLISM	   Amino acid transport and metabolism	Others
113	H17_BL_08_NODE_3_length_300360_cov_273557_274164_25	131	99.57816666666663	36	62	H17_BL_08_NODE_3_length_300360_cov_273557_274164_25	COG2378	regulation of single-species biofilm formation	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
114	D82_BL_17_NODE_10_length_97163_cov_84699_85049_55	132	67.24576470588235	17	158	D82_BL_17_NODE_10_length_97163_cov_84699_85049_55	COG2826	transposase and inactivated derivatives, IS30 family	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Transposase
115	D485_BL_08_NODE_12_length_68481_cov_36433_36781_19	133	99.50275	32	3	D485_BL_08_NODE_12_length_68481_cov_36433_36781_19	COG0553	Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
116	H09_BL_07_NODE_2_length_488457_cov_214354_214961_52	134	90.94002702702703	37	127	H09_BL_07_NODE_2_length_488457_cov_214354_214961_52	30QYV	Protein of unknown function (DUF2975)	S	POORLY CHARACTERIZED	     Function unknown	Others
117	D110_BL_03_NODE_3_length_312211_cov_31571_32177_39	135	96.20341176470589	34	131	D110_BL_03_NODE_3_length_312211_cov_31571_32177_39	COG0701	Predicted permease	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
118	H11_BL_18_NODE_3_length_195611_cov_71992_72599_21	136	99.45715625	32	118	H11_BL_18_NODE_3_length_195611_cov_71992_72599_21	COG1247	-acetyltransferase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
119	H17_BL_08_NODE_3_length_300360_cov_273557_274164_21	137	98.31025	32	120	H17_BL_08_NODE_3_length_300360_cov_273557_274164_21	COG3727	T/G mismatch-specific endonuclease activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
120	H09_BL_07_NODE_2_length_488457_cov_214354_214961_55	138	99.083125	32	63	H09_BL_07_NODE_2_length_488457_cov_214354_214961_55	COG0673	inositol 2-dehydrogenase activity	T	CELLULAR PROCESSES AND SIGNALING	Signal transduction mechanisms	Others
121	D56_BL_10_NODE_4_length_201238_cov_83016_83619_19	139	98.18975757575758	33	47	D56_BL_10_NODE_4_length_201238_cov_83016_83619_19	COG0436	Aminotransferase	E	METABOLISM	   Amino acid transport and metabolism	Others
122	D56_BL_10_NODE_4_length_201238_cov_83016_83619_18	140	91.42161111111112	36	71	D56_BL_10_NODE_4_length_201238_cov_83016_83619_18	COG0248	Ppx GppA phosphatase	P	METABOLISM	   Inorganic ion transport and metabolism	Others
123	D503_BL_05_NODE_13_length_66361_cov_46309_46852_18	141	99.23346875	32	57	D503_BL_05_NODE_13_length_66361_cov_46309_46852_18	COG3021	interspecies interaction between organisms	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	Others
124	H41_BL_13_NODE_3_length_253622_cov_201193_201864_20	142	88.9183684210526	38	139	H41_BL_13_NODE_3_length_253622_cov_201193_201864_20	COG0454	-acetyltransferase	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
125	D485_BL_08_NODE_12_length_68481_cov_36433_36781_11	143	99.41528125	32	167	D485_BL_08_NODE_12_length_68481_cov_36433_36781_11	COG3483	tryptophan 2,3-dioxygenase activity	E	METABOLISM	   Amino acid transport and metabolism	Others
126	H11_BL_18_NODE_3_length_195611_cov_71992_72599_14	144	95.42179411764704	34	134	H11_BL_18_NODE_3_length_195611_cov_71992_72599_14	COG3613	nucleoside 2-deoxyribosyltransferase	F	METABOLISM	   Nucleotide transport and metabolism	Others
127	D110_BL_03_NODE_3_length_312211_cov_31571_32177_48	145	95.716	33	122	D110_BL_03_NODE_3_length_312211_cov_31571_32177_48	COG1970	mechanosensitive ion channel activity	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
128	H41_BL_13_NODE_3_length_253622_cov_201193_201864_17	146	87.431575	40	15	H41_BL_13_NODE_3_length_253622_cov_201193_201864_17	COG1022	Amp-dependent synthetase and ligase	I	METABOLISM	   Lipid transport and metabolism	Others
129	D110_BL_03_NODE_3_length_312211_cov_31571_32177_51	147	98.571375	32	119	D110_BL_03_NODE_3_length_312211_cov_31571_32177_51	COG2249	NAD(P)H dehydrogenase (quinone) activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
130	D485_BL_08_NODE_12_length_68481_cov_36433_36781_5	148	98.8553125	32	154	D485_BL_08_NODE_12_length_68481_cov_36433_36781_5	COG1722	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
131	H35_BL_09_NODE_1_length_397121_cov_133421_133899_67	149	98.49303125	32	33	H35_BL_09_NODE_1_length_397121_cov_133421_133899_67	COG1570	exodeoxyribonuclease VII activity	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
132	D110_BL_03_NODE_3_length_312211_cov_31571_32177_54	150	98.07618181818182	33	6	D110_BL_03_NODE_3_length_312211_cov_31571_32177_54	COG1327	Negatively regulates transcription of bacterial ribonucleotide reductase nrd genes and operons by binding to NrdR- boxes	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
133	D485_BL_08_NODE_12_length_68481_cov_36433_36781_2	151	78.0631875	32	78	D485_BL_08_NODE_12_length_68481_cov_36433_36781_2	COG0602	queuosine metabolic process	H	METABOLISM	   Coenzyme transport and metabolism	Others
134	D110_BL_03_NODE_3_length_312211_cov_31571_32177_55	152	99.1884375	32	99	D110_BL_03_NODE_3_length_312211_cov_31571_32177_55	COG0602	queuosine metabolic process	H	METABOLISM	   Coenzyme transport and metabolism	Others
135	H02_BL_12_NODE_2_length_317123_cov_34922_35077_59	153	97.18784375	32	1	H02_BL_12_NODE_2_length_317123_cov_34922_35077_59	COG1924	4 iron, 4 sulfur cluster binding	I	METABOLISM	   Lipid transport and metabolism	Others
136	D485_BL_06_NODE_14_length_70959_cov_31708_31927_55	154	96.95865625	32	0	D485_BL_06_NODE_14_length_70959_cov_31708_31927_55	COG1924	4 iron, 4 sulfur cluster binding	I	METABOLISM	   Lipid transport and metabolism	Others
137	H40_BL_30_NODE_3_length_365444_cov_300487_300642_10	155	90.3795625	32	42	H40_BL_30_NODE_3_length_365444_cov_300487_300642_10	COG2170	ATP-dependent carboxylate-amine ligase which exhibits weak glutamate--cysteine ligase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
138	D571_BL_13_NODE_3_length_274432_cov_74983_75204_9	156	95.8361052631579	19	98	D571_BL_13_NODE_3_length_274432_cov_74983_75204_9	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
139	D571_BL_13_NODE_3_length_274432_cov_74983_75204_8	157	89.87912499999999	32	8	D571_BL_13_NODE_3_length_274432_cov_74983_75204_8	COG1472	Belongs to the glycosyl hydrolase 3 family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
140	H02_BL_12_NODE_2_length_317123_cov_34922_35077_63	158	52.53576190476189	21	148	H02_BL_12_NODE_2_length_317123_cov_34922_35077_63	COG3293	Transposase	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
141	H02_BL_25_NODE_3_length_301729_cov_281751_281906_6	159	100.0	3	132	H02_BL_25_NODE_3_length_301729_cov_281751_281906_6	COG3293	Transposase	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
142	D549_BL_07_NODE_2_length_343373_cov_215287_215442_7	160	84.756	9	170	D549_BL_07_NODE_2_length_343373_cov_215287_215442_7	2ZQWS		S	POORLY CHARACTERIZED	     Function unknown	Others
143	D549_BL_07_NODE_2_length_343373_cov_215287_215442_6	161	100.0	3	135	D549_BL_07_NODE_2_length_343373_cov_215287_215442_6	30CXF		S	POORLY CHARACTERIZED	     Function unknown	Others
144	D549_BL_07_NODE_2_length_343373_cov_215287_215442_5	162	42.157848484848486	33	68	D549_BL_07_NODE_2_length_343373_cov_215287_215442_5	COG0657	acetylesterase activity	I	METABOLISM	   Lipid transport and metabolism	Others
145	D549_BL_07_NODE_2_length_343373_cov_215287_215442_4	163	56.01139130434785	23	36	D549_BL_07_NODE_2_length_343373_cov_215287_215442_4	COG0687	Required for the activity of the bacterial periplasmic transport system of putrescine	E	METABOLISM	   Amino acid transport and metabolism	Others
146	H40_BL_30_NODE_3_length_365444_cov_300487_300642_3	164	57.48054166666666	24	94	H40_BL_30_NODE_3_length_365444_cov_300487_300642_3	COG0388	Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
147	D549_BL_07_NODE_2_length_343373_cov_215287_215442_2	165	56.85619230769232	26	23	D549_BL_07_NODE_2_length_343373_cov_215287_215442_2	COG0154	amidase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	Others
148	D549_BL_07_NODE_2_length_343373_cov_215287_215442_1	166	100.0	8	133	D549_BL_07_NODE_2_length_343373_cov_215287_215442_1	COG1765	OsmC-like protein	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	Others
149	D571_BL_13_NODE_3_length_274432_cov_74983_75204_7	167	97.14320000000001	5	165	D571_BL_13_NODE_3_length_274432_cov_74983_75204_7	COG1285	pathogenesis	E	METABOLISM	   Amino acid transport and metabolism	Others
150	D110_BL_03_NODE_3_length_312211_cov_31571_32177_61	168	98.61088888888888	9	156	D110_BL_03_NODE_3_length_312211_cov_31571_32177_61	COG1669	hydrolase activity, acting on ester bonds	V	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	Others
151	D571_BL_13_NODE_3_length_274432_cov_74983_75204_5	169	98.17599999999999	9	140	D571_BL_13_NODE_3_length_274432_cov_74983_75204_5	33D6A	Nucleotidyltransferase substrate binding protein like	H	METABOLISM	   Coenzyme transport and metabolism	Others
152	H41_BL_13_NODE_3_length_253622_cov_201193_201864_5	170	85.7259411764706	17	50	H41_BL_13_NODE_3_length_253622_cov_201193_201864_5	COG3934	Belongs to the glycosyl hydrolase 5 (cellulase A) family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
153	D571_BL_13_NODE_3_length_274432_cov_74983_75204_3	171	98.471125	8	91	D571_BL_13_NODE_3_length_274432_cov_74983_75204_3	3228D		S	POORLY CHARACTERIZED	     Function unknown	Others
154	H09_BL_07_NODE_2_length_488457_cov_214354_214961_76	172	29.796741935483876	31	27	H09_BL_07_NODE_2_length_488457_cov_214354_214961_76	COG1472	Belongs to the glycosyl hydrolase 3 family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
155	H09_BL_07_NODE_2_length_488457_cov_214354_214961_77	173	100.0	1	116	H09_BL_07_NODE_2_length_488457_cov_214354_214961_77	COG1846	Transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
156	H09_BL_07_NODE_2_length_488457_cov_214354_214961_78	174	29.122777777777774	36	17	H09_BL_07_NODE_2_length_488457_cov_214354_214961_78	COG2274	protein secretion by the type I secretion system	V	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	Others
157	D571_BL_13_NODE_3_length_274432_cov_74983_75204_2	175	52.475285714285725	21	112	D571_BL_13_NODE_3_length_274432_cov_74983_75204_2	COG1309	transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
158	D110_BL_03_NODE_3_length_312211_cov_31571_32177_66	176	99.8165	6	43	D110_BL_03_NODE_3_length_312211_cov_31571_32177_66	COG2807	transmembrane transport	P	METABOLISM	   Inorganic ion transport and metabolism	Others
159	H41_BL_13_NODE_3_length_253622_cov_201193_201864_1	177	100.0	4	21	H41_BL_13_NODE_3_length_253622_cov_201193_201864_1	COG2936	dipeptidyl-peptidase activity	V	CELLULAR PROCESSES AND SIGNALING	Defense mechanisms	Others
160	D485_BL_06_NODE_14_length_70959_cov_31708_31927_56	178	100.0	12	88	D485_BL_06_NODE_14_length_70959_cov_31708_31927_56	30HV1		S	POORLY CHARACTERIZED	     Function unknown	Others
161	H02_BL_11_NODE_4_length_129034_cov_48128_48799_5	179	99.57400000000001	11	2	H02_BL_11_NODE_4_length_129034_cov_48128_48799_5	COG3420	alginic acid biosynthetic process	P	METABOLISM	   Inorganic ion transport and metabolism	Others
162	D56_BL_10_NODE_4_length_201238_cov_83016_83619_4	180	89.22846875000002	32	41	D56_BL_10_NODE_4_length_201238_cov_83016_83619_4	COG3572	ergothioneine biosynthetic process	H	METABOLISM	   Coenzyme transport and metabolism	Others
163	D56_BL_10_NODE_4_length_201238_cov_83016_83619_3	181	49.80664864864864	37	152	D56_BL_10_NODE_4_length_201238_cov_83016_83619_3	COG5520	Belongs to the glycosyl hydrolase 30 family	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
164	D56_BL_10_NODE_4_length_201238_cov_83016_83619_2	182	91.018	30	7	D56_BL_10_NODE_4_length_201238_cov_83016_83619_2	COG1472	Belongs to the glycosyl hydrolase 3 family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
165	H25_BL_06_NODE_4_length_233680_cov_149707_149862_76	183	61.663740740740735	27	137	H25_BL_06_NODE_4_length_233680_cov_149707_149862_76	32HID		S	POORLY CHARACTERIZED	     Function unknown	Others
166	D56_BL_10_NODE_4_length_201238_cov_83016_83619_1	184	79.14123529411764	17	51	D56_BL_10_NODE_4_length_201238_cov_83016_83619_1	COG3934	Belongs to the glycosyl hydrolase 5 (cellulase A) family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
167	H02_BL_15_NODE_4_length_129431_cov_80108_80779_75	185	85.73686666666669	30	49	H02_BL_15_NODE_4_length_129431_cov_80108_80779_75	COG1472	Belongs to the glycosyl hydrolase 3 family	G	METABOLISM	   Carbohydrate transport and metabolism	Others
